"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 14:47:49.553","83.37%"
"Oct 6, 2021 @ 14:47:48.553","85.985%"
"Oct 6, 2021 @ 14:47:47.553","84.315%"
"Oct 6, 2021 @ 14:47:46.553","81.455%"
"Oct 6, 2021 @ 14:47:45.553","83.625%"
"Oct 6, 2021 @ 14:47:44.553","81.575%"
"Oct 6, 2021 @ 14:47:43.553","81.795%"
"Oct 6, 2021 @ 14:47:42.553","83.635%"
"Oct 6, 2021 @ 14:47:41.553","82.075%"
"Oct 6, 2021 @ 14:47:40.553","80.47%"
"Oct 6, 2021 @ 14:47:39.553","80.925%"
"Oct 6, 2021 @ 14:47:38.553","82.85%"
"Oct 6, 2021 @ 14:47:37.553","80.80000000000001%"
"Oct 6, 2021 @ 14:47:36.553","81.22%"
"Oct 6, 2021 @ 14:47:35.553","80.91%"
"Oct 6, 2021 @ 14:47:34.553","82.06%"
"Oct 6, 2021 @ 14:47:33.553","77.155%"
"Oct 6, 2021 @ 14:47:32.553","74.82%"
"Oct 6, 2021 @ 14:47:31.553","67.41499999999999%"
"Oct 6, 2021 @ 14:47:30.553","75.94%"
"Oct 6, 2021 @ 14:47:29.553","66.64%"
"Oct 6, 2021 @ 14:47:28.553","64.17%"
"Oct 6, 2021 @ 14:47:27.553","65.63499999999999%"
"Oct 6, 2021 @ 14:47:26.553","64.67%"
"Oct 6, 2021 @ 14:47:25.553","65.355%"
"Oct 6, 2021 @ 14:47:24.553","64.91%"
"Oct 6, 2021 @ 14:47:23.553","66.32%"
"Oct 6, 2021 @ 14:47:22.553","64.285%"
"Oct 6, 2021 @ 14:47:21.553","70.96000000000001%"
"Oct 6, 2021 @ 14:47:20.553","67.86%"
"Oct 6, 2021 @ 14:47:19.553","75.74%"
"Oct 6, 2021 @ 14:47:18.553","73.095%"
"Oct 6, 2021 @ 14:47:17.553","73.49000000000001%"
"Oct 6, 2021 @ 14:47:16.553","72.635%"
"Oct 6, 2021 @ 14:47:15.553","73.765%"
"Oct 6, 2021 @ 14:47:14.553","71.38499999999999%"
"Oct 6, 2021 @ 14:47:13.553","72.47999999999999%"
"Oct 6, 2021 @ 14:47:12.553","72.255%"
"Oct 6, 2021 @ 14:47:11.553","63.605%"
"Oct 6, 2021 @ 14:47:10.553","66.615%"
"Oct 6, 2021 @ 14:47:09.553","72.405%"
"Oct 6, 2021 @ 14:47:08.553","69.535%"
"Oct 6, 2021 @ 14:47:07.553","69.06%"
"Oct 6, 2021 @ 14:47:06.553","68.49000000000001%"
"Oct 6, 2021 @ 14:47:05.553","69.175%"
"Oct 6, 2021 @ 14:47:04.553","70.08000000000001%"
"Oct 6, 2021 @ 14:47:03.553","67.49000000000001%"
"Oct 6, 2021 @ 14:47:02.553","67.57%"
"Oct 6, 2021 @ 14:47:01.553","71.825%"
"Oct 6, 2021 @ 14:47:00.553","69.31%"
"Oct 6, 2021 @ 14:46:59.553","68.39%"
"Oct 6, 2021 @ 14:46:58.553","69.11%"
"Oct 6, 2021 @ 14:46:57.554","71.13%"
"Oct 6, 2021 @ 14:46:56.553","68.67%"
"Oct 6, 2021 @ 14:46:55.553","68.11%"
"Oct 6, 2021 @ 14:46:54.553","70.05%"
