"@timestamp","system.cpu.total.norm.pct"
"Mar 26, 2021 @ 16:23:28.524","43.91%"
"Mar 26, 2021 @ 16:23:29.193","100%"
"Mar 26, 2021 @ 16:23:29.523","53.02%"
"Mar 26, 2021 @ 16:23:30.193","100%"
"Mar 26, 2021 @ 16:23:30.523","31.23%"
"Mar 26, 2021 @ 16:23:31.193","100%"
"Mar 26, 2021 @ 16:23:31.524","34.76%"
"Mar 26, 2021 @ 16:23:32.193","100%"
"Mar 26, 2021 @ 16:23:32.524","45.54%"
"Mar 26, 2021 @ 16:23:33.523","46.39%"
"Mar 26, 2021 @ 16:23:34.524","36.29%"
