"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 29, 2021 @ 11:05:07.052","96.13%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:10.005","62.92%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:12.052","90.18%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:15.006","65.41%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:17.052","87.91%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:20.006","76.68%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:22.052","87.95%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:25.006","88.24%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:27.052","80.33%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:30.006","93.77%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:32.052","79.53%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:35.006","96.92%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:37.052","81.36%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:40.006","97.9%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:42.052","80.16%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:45.006","95.86%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:47.052","85.42%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:50.006","92.7%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:52.052","90.28%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:05:55.006","92.78%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:05:57.052","96.62%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:00.006","93.18%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:02.052","98.51%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:05.005","92.82%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:07.052","98.7%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:10.006","92.95%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:12.052","98.3%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:15.005","90.9%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:17.052","99.3%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:20.006","89.81%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:22.052","99.5%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:25.006","91.08%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:27.052","99%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:30.006","97.62%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:32.052","97.71%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:35.006","99.2%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:37.053","97.01%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:40.006","99.1%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:42.052","97.71%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:45.005","99.3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:47.052","98.01%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:50.006","98.61%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:52.052","97.41%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:06:55.006","98.9%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:06:57.052","97.52%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:00.005","99.4%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:02.052","97.52%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:05.006","99.8%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:07.052","96.82%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:10.005","99.6%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:12.052","97.01%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:15.006","99.2%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:17.052","97.42%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:20.006","99.2%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:22.052","97.22%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:25.006","94.4%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:27.052","81.74%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:30.006","81.75%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:32.052","64.34%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:35.005","41.49%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:37.052","39.13%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:40.006","3%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:42.052","1.7%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:45.005","4.22%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:47.052","1.21%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:50.005","1.31%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:52.052","3.1%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:07:55.005","1.99%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:07:57.052","1.5%","ip-172-31-8-202"
"Mar 29, 2021 @ 11:08:00.005","2.22%","ip-172-31-2-90"
"Mar 29, 2021 @ 11:08:02.052","1.8%","ip-172-31-8-202"
