"@timestamp","system.memory.used.pct","agent.hostname"
"Oct 6, 2021 @ 15:02:03.885","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:02:02.922","15.06%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:02:02.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:02:01.922","15.06%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:02:01.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:02:00.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:02:00.885","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:59.922","15.06%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:59.885","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:58.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:58.886","15.26%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:57.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:57.886","15.24%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:56.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:56.886","15.27%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:55.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:55.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:54.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:54.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:53.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:53.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:52.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:52.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:51.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:51.886","15.3%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:50.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:50.886","15.31%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:49.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:49.885","15.3%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:48.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:48.886","15.3%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:47.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:47.885","15.3%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:46.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:46.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:45.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:45.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:44.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:44.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:43.922","15.05%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:43.885","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:42.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:42.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:41.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:41.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:40.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:40.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:39.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:39.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:38.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:38.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:37.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:37.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:36.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:36.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:35.922","15.03%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:35.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:34.922","15.04%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:34.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:33.922","15.02%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:33.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:32.922","15.03%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:32.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:31.922","15.02%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:31.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:30.922","15.02%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:30.886","15.29%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:29.922","15.02%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:29.885","15.3%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:28.922","15.02%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:28.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:27.922","15.01%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:27.886","15.27%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:26.922","15.01%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:26.886","15.28%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:25.922","15.01%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:25.886","15.27%","ip-172-31-8-7"
"Oct 6, 2021 @ 15:01:24.922","15%","ip-172-31-14-6"
"Oct 6, 2021 @ 15:01:24.886","15.27%","ip-172-31-8-7"
