"@timestamp","system.memory.used.pct","agent.hostname"
"Mar 31, 2021 @ 13:35:51.582","72.57%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:46.582","72.55%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:41.582","72.55%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:36.582","72.5%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:31.582","72.5%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:26.582","72.46%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:21.582","72.47%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:16.582","72.45%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:11.582","72.43%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:06.582","72.57%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:35:01.582","72.53%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:56.582","72.53%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:51.582","72.52%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:46.582","72.51%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:41.582","72.45%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:36.582","72.45%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:31.582","72.44%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:26.582","72.43%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:21.582","72.41%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:16.582","72.37%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:11.583","72.37%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:06.582","72.34%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:34:01.582","72.33%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:56.582","72.31%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:51.582","72.29%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:46.582","72.27%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:41.582","72.24%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:36.582","72.24%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:31.582","72.23%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:26.582","72.21%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:21.582","72.16%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:16.582","72.14%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:11.582","72.12%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:06.582","72.11%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:33:01.582","72.18%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:56.582","72.18%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:51.582","72.12%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:46.582","72.2%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:41.582","72.18%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:36.582","72.17%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:31.583","72.17%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:26.582","72.17%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:21.582","72.16%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:16.582","72.09%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:11.582","72.05%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:06.582","72.03%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:32:01.582","72%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:56.582","72.01%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:51.582","72.01%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:46.582","71.98%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:41.582","71.94%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:36.582","71.91%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:31.582","71.9%","ip-172-31-9-91"
"Mar 31, 2021 @ 13:31:26.582","71.87%","ip-172-31-9-91"
