"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:41:31.165","86.94999999999999%"
"Oct 6, 2021 @ 15:41:30.165","87.405%"
"Oct 6, 2021 @ 15:41:17.166","87.44%"
"Oct 6, 2021 @ 15:41:10.165","86.02000000000001%"
"Oct 6, 2021 @ 15:41:09.165","86.63499999999999%"
"Oct 6, 2021 @ 15:41:08.165","85.545%"
"Oct 6, 2021 @ 15:41:07.165","84.91%"
"Oct 6, 2021 @ 15:41:00.165","85.25999999999999%"
"Oct 6, 2021 @ 15:40:59.165","85.705%"
"Oct 6, 2021 @ 15:40:54.165","84.755%"
"Oct 6, 2021 @ 15:40:53.165","86.16499999999999%"
"Oct 6, 2021 @ 15:40:49.165","86.19%"
"Oct 6, 2021 @ 15:40:48.165","85.945%"
"Oct 6, 2021 @ 15:40:47.165","86.735%"
"Oct 6, 2021 @ 15:40:46.165","85.595%"
"Oct 6, 2021 @ 15:40:45.165","87.86%"
"Oct 6, 2021 @ 15:40:44.165","85.935%"
"Oct 6, 2021 @ 15:40:37.165","85.47999999999999%"
"Oct 6, 2021 @ 15:40:36.165","86.565%"
"Oct 6, 2021 @ 15:40:35.165","86.725%"
"Oct 6, 2021 @ 15:40:34.165","86.49%"
"Oct 6, 2021 @ 15:40:33.165","86.58%"
"Oct 6, 2021 @ 15:40:32.165","86.145%"
"Oct 6, 2021 @ 15:40:31.165","86.775%"
"Oct 6, 2021 @ 15:40:30.165","86.805%"
"Oct 6, 2021 @ 15:40:29.166","86.58%"
"Oct 6, 2021 @ 15:40:28.165","85.10499999999999%"
"Oct 6, 2021 @ 15:40:27.165","85.53%"
"Oct 6, 2021 @ 15:40:26.165","88.32%"
"Oct 6, 2021 @ 15:40:25.165","90.125%"
"Oct 6, 2021 @ 15:40:24.165","86.47%"
"Oct 6, 2021 @ 15:40:23.165","84.715%"
"Oct 6, 2021 @ 15:40:22.166","84.055%"
"Oct 6, 2021 @ 15:40:21.165","86.24%"
"Oct 6, 2021 @ 15:40:20.165","85.445%"
"Oct 6, 2021 @ 15:40:19.165","86.125%"
"Oct 6, 2021 @ 15:40:18.165","86.35%"
"Oct 6, 2021 @ 15:40:17.165","85.9%"
"Oct 6, 2021 @ 15:40:16.165","86.185%"
"Oct 6, 2021 @ 15:40:15.165","86.045%"
"Oct 6, 2021 @ 15:40:14.165","85.91499999999999%"
"Oct 6, 2021 @ 15:40:13.165","85.33000000000001%"
"Oct 6, 2021 @ 15:40:12.165","85.07%"
"Oct 6, 2021 @ 15:40:11.165","85.94999999999999%"
"Oct 6, 2021 @ 15:40:10.165","85.765%"
"Oct 6, 2021 @ 15:40:09.165","84.52000000000001%"
"Oct 6, 2021 @ 15:40:08.165","84.265%"
"Oct 6, 2021 @ 15:40:07.165","84.75%"
"Oct 6, 2021 @ 15:40:06.165","84.16499999999999%"
"Oct 6, 2021 @ 15:40:05.165","84.24000000000001%"
"Oct 6, 2021 @ 15:40:04.165","83.25%"
"Oct 6, 2021 @ 15:40:03.165","83.75%"
"Oct 6, 2021 @ 15:40:02.165","83.99000000000001%"
"Oct 6, 2021 @ 15:40:01.165","84.88499999999999%"
"Oct 6, 2021 @ 15:40:00.165","84.36500000000001%"
"Oct 6, 2021 @ 15:39:59.165","83.465%"
"Oct 6, 2021 @ 15:39:58.165","83.30000000000001%"
"Oct 6, 2021 @ 15:39:57.165","84.88%"
"Oct 6, 2021 @ 15:39:56.165","85.325%"
"Oct 6, 2021 @ 15:39:55.165","84.475%"
"Oct 6, 2021 @ 15:39:54.165","84.1%"
"Oct 6, 2021 @ 15:39:53.165","84.37%"
"Oct 6, 2021 @ 15:39:52.165","84.88%"
"Oct 6, 2021 @ 15:39:51.165","84.50999999999999%"
"Oct 6, 2021 @ 15:39:50.165","83.975%"
"Oct 6, 2021 @ 15:39:49.165","85.18%"
"Oct 6, 2021 @ 15:39:48.166","84.06%"
"Oct 6, 2021 @ 15:39:47.165","83.83%"
"Oct 6, 2021 @ 15:39:46.165","83.815%"
"Oct 6, 2021 @ 15:39:45.165","84.185%"
"Oct 6, 2021 @ 15:39:44.165","84.86500000000001%"
"Oct 6, 2021 @ 15:39:43.165","85.36500000000001%"
"Oct 6, 2021 @ 15:39:42.165","85.70500000000001%"
"Oct 6, 2021 @ 15:39:41.165","84.79499999999999%"
"Oct 6, 2021 @ 15:39:40.165","85.475%"
"Oct 6, 2021 @ 15:39:39.165","84.895%"
"Oct 6, 2021 @ 15:39:38.165","83.61%"
"Oct 6, 2021 @ 15:39:37.165","84.16%"
"Oct 6, 2021 @ 15:39:36.165","84.50999999999999%"
"Oct 6, 2021 @ 15:39:35.166","83.58500000000001%"
"Oct 6, 2021 @ 15:39:34.165","83.4%"
"Oct 6, 2021 @ 15:39:33.165","83.025%"
"Oct 6, 2021 @ 15:39:32.165","85.38%"
"Oct 6, 2021 @ 15:39:31.165","84.05%"
"Oct 6, 2021 @ 15:39:30.165","83.86500000000001%"
"Oct 6, 2021 @ 15:39:29.165","84.45500000000001%"
"Oct 6, 2021 @ 15:39:28.165","84.12%"
"Oct 6, 2021 @ 15:39:27.165","85.405%"
"Oct 6, 2021 @ 15:39:26.165","83.905%"
"Oct 6, 2021 @ 15:39:25.165","85.235%"
"Oct 6, 2021 @ 15:39:24.165","83.875%"
"Oct 6, 2021 @ 15:39:23.165","84.88%"
"Oct 6, 2021 @ 15:39:22.165","83.06%"
"Oct 6, 2021 @ 15:39:21.165","83.07%"
"Oct 6, 2021 @ 15:39:20.165","83.515%"
"Oct 6, 2021 @ 15:39:19.165","85.12%"
"Oct 6, 2021 @ 15:39:18.165","84.16499999999999%"
"Oct 6, 2021 @ 15:39:17.166","85.13%"
"Oct 6, 2021 @ 15:39:16.166","84.52000000000001%"
"Oct 6, 2021 @ 15:39:15.165","85.5%"
"Oct 6, 2021 @ 15:39:14.165","84.025%"
"Oct 6, 2021 @ 15:39:13.165","86.485%"
"Oct 6, 2021 @ 15:39:12.165","85.52%"
"Oct 6, 2021 @ 15:39:11.165","84.78999999999999%"
"Oct 6, 2021 @ 15:39:10.165","84.35%"
"Oct 6, 2021 @ 15:39:09.165","84.12%"
"Oct 6, 2021 @ 15:39:08.165","84.75%"
"Oct 6, 2021 @ 15:39:07.165","85.87%"
"Oct 6, 2021 @ 15:39:06.165","83.385%"
"Oct 6, 2021 @ 15:39:05.165","85.1%"
"Oct 6, 2021 @ 15:39:04.166","85.93%"
"Oct 6, 2021 @ 15:39:03.165","85.285%"
"Oct 6, 2021 @ 15:39:02.165","83.805%"
"Oct 6, 2021 @ 15:39:01.165","85.24000000000001%"
"Oct 6, 2021 @ 15:39:00.165","84.72999999999999%"
"Oct 6, 2021 @ 15:38:59.165","85.13499999999999%"
"Oct 6, 2021 @ 15:38:58.165","83.45500000000001%"
"Oct 6, 2021 @ 15:38:57.165","84.99000000000001%"
"Oct 6, 2021 @ 15:38:56.165","85.985%"
"Oct 6, 2021 @ 15:38:55.165","83.71000000000001%"
"Oct 6, 2021 @ 15:38:54.165","84.55000000000001%"
"Oct 6, 2021 @ 15:38:53.165","84.75999999999999%"
"Oct 6, 2021 @ 15:38:52.165","84.25%"
"Oct 6, 2021 @ 15:38:51.165","84.535%"
"Oct 6, 2021 @ 15:38:50.166","84.27000000000001%"
"Oct 6, 2021 @ 15:38:49.165","84.48500000000001%"
"Oct 6, 2021 @ 15:38:48.165","84.81%"
"Oct 6, 2021 @ 15:38:47.165","84.765%"
"Oct 6, 2021 @ 15:38:46.165","83.82%"
"Oct 6, 2021 @ 15:38:45.165","84.315%"
"Oct 6, 2021 @ 15:38:44.165","84.375%"
"Oct 6, 2021 @ 15:38:43.165","85.745%"
"Oct 6, 2021 @ 15:38:42.165","84.05%"
"Oct 6, 2021 @ 15:38:41.165","84.17500000000001%"
"Oct 6, 2021 @ 15:38:40.165","84.87%"
"Oct 6, 2021 @ 15:38:39.165","84.53999999999999%"
"Oct 6, 2021 @ 15:38:38.165","86.13499999999999%"
"Oct 6, 2021 @ 15:38:37.165","84.825%"
"Oct 6, 2021 @ 15:38:36.165","85.32%"
"Oct 6, 2021 @ 15:38:35.165","84.465%"
"Oct 6, 2021 @ 15:38:34.165","84.005%"
"Oct 6, 2021 @ 15:38:33.165","85.775%"
"Oct 6, 2021 @ 15:38:32.165","84.49000000000001%"
"Oct 6, 2021 @ 15:38:31.165","85.84%"
"Oct 6, 2021 @ 15:38:30.165","83.97%"
"Oct 6, 2021 @ 15:38:29.165","85.945%"
"Oct 6, 2021 @ 15:38:28.165","85.04499999999999%"
"Oct 6, 2021 @ 15:38:27.165","85.55000000000001%"
"Oct 6, 2021 @ 15:38:26.165","84.14500000000001%"
"Oct 6, 2021 @ 15:38:25.165","84.58500000000001%"
"Oct 6, 2021 @ 15:38:24.165","84.97%"
"Oct 6, 2021 @ 15:38:23.165","85.49000000000001%"
"Oct 6, 2021 @ 15:38:22.166","83.805%"
"Oct 6, 2021 @ 15:38:21.165","83.91499999999999%"
"Oct 6, 2021 @ 15:38:20.165","84.89%"
"Oct 6, 2021 @ 15:38:19.165","86.34%"
"Oct 6, 2021 @ 15:38:18.165","85.38%"
"Oct 6, 2021 @ 15:38:17.165","84.075%"
"Oct 6, 2021 @ 15:38:16.165","83.875%"
"Oct 6, 2021 @ 15:38:15.165","85.345%"
"Oct 6, 2021 @ 15:38:14.165","84.625%"
"Oct 6, 2021 @ 15:38:13.165","87.69%"
"Oct 6, 2021 @ 15:38:12.165","87.13499999999999%"
"Oct 6, 2021 @ 15:38:11.165","85.425%"
