"@timestamp","system.cpu.total.norm.pct"
"Oct 6, 2021 @ 15:39:06.735","11.18%"
"Oct 6, 2021 @ 15:39:05.735","10.82%"
"Oct 6, 2021 @ 15:39:04.735","10.09%"
"Oct 6, 2021 @ 15:39:03.735","12.47%"
"Oct 6, 2021 @ 15:39:02.735","9.96%"
"Oct 6, 2021 @ 15:39:01.735","14.03%"
"Oct 6, 2021 @ 15:39:00.735","13.41%"
"Oct 6, 2021 @ 15:38:59.735","10.34%"
"Oct 6, 2021 @ 15:38:58.735","11.49%"
"Oct 6, 2021 @ 15:38:57.735","12.65%"
"Oct 6, 2021 @ 15:38:56.735","13.8%"
"Oct 6, 2021 @ 15:38:55.735","16.4%"
"Oct 6, 2021 @ 15:38:54.735","12.04%"
"Oct 6, 2021 @ 15:38:53.735","11.88%"
"Oct 6, 2021 @ 15:38:52.735","16.19%"
"Oct 6, 2021 @ 15:38:51.735","14.87%"
"Oct 6, 2021 @ 15:38:50.735","14.03%"
"Oct 6, 2021 @ 15:38:49.735","12.34%"
"Oct 6, 2021 @ 15:38:48.735","14.27%"
"Oct 6, 2021 @ 15:38:47.735","11.71%"
"Oct 6, 2021 @ 15:38:46.735","10.59%"
"Oct 6, 2021 @ 15:38:45.735","10.81%"
"Oct 6, 2021 @ 15:38:44.735","14.36%"
"Oct 6, 2021 @ 15:38:43.735","10.23%"
"Oct 6, 2021 @ 15:38:42.735","12.39%"
"Oct 6, 2021 @ 15:38:41.735","11.27%"
