"@timestamp","system.cpu.total.norm.pct"
"Mar 30, 2021 @ 09:02:07.309","100%"
"Mar 30, 2021 @ 09:02:08.309","100%"
"Mar 30, 2021 @ 09:02:09.309","100%"
"Mar 30, 2021 @ 09:02:10.309","100%"
"Mar 30, 2021 @ 09:02:11.309","100%"
"Mar 30, 2021 @ 09:02:12.309","100%"
"Mar 30, 2021 @ 09:02:13.309","100%"
"Mar 30, 2021 @ 09:02:14.309","100%"
"Mar 30, 2021 @ 09:02:15.309","100%"
"Mar 30, 2021 @ 09:02:16.309","100%"
"Mar 30, 2021 @ 09:02:17.309","100%"
"Mar 30, 2021 @ 09:02:18.309","100%"
"Mar 30, 2021 @ 09:02:19.309","100%"
"Mar 30, 2021 @ 09:02:20.309","100%"
"Mar 30, 2021 @ 09:02:21.309","100%"
"Mar 30, 2021 @ 09:02:22.309","100%"
"Mar 30, 2021 @ 09:02:23.309","100%"
"Mar 30, 2021 @ 09:02:24.309","100%"
"Mar 30, 2021 @ 09:02:25.309","100%"
"Mar 30, 2021 @ 09:02:26.309","100%"
"Mar 30, 2021 @ 09:02:27.309","100%"
"Mar 30, 2021 @ 09:02:28.309","100%"
"Mar 30, 2021 @ 09:02:29.309","98.24%"
"Mar 30, 2021 @ 09:02:30.309","94.22%"
"Mar 30, 2021 @ 09:02:31.309","59.39%"
"Mar 30, 2021 @ 09:02:32.309","26.77%"
"Mar 30, 2021 @ 09:02:33.309","27.75%"
"Mar 30, 2021 @ 09:02:34.309","26.26%"
"Mar 30, 2021 @ 09:02:35.309","33.5%"
