"@timestamp","system.cpu.total.norm.pct","agent.hostname"
"Mar 31, 2021 @ 16:56:37.263","80.43%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:33.897","38.36%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:32.265","66.33%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:28.897","39.21%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:27.263","66.55%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:23.897","40.35%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:22.263","52.47%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:18.897","45.08%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:17.263","32%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:13.897","56.92%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:12.263","22.43%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:08.897","45.02%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:07.263","24.92%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:56:03.897","36.2%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:56:02.263","23.21%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:58.897","22.04%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:57.263","23.27%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:53.897","13.15%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:52.263","24.32%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:48.897","9.69%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:47.263","53.35%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:43.897","22.65%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:42.263","47.17%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:38.897","26.21%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:37.263","40.74%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:33.897","25.41%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:32.263","29.65%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:28.897","28.13%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:27.263","16.38%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:23.897","39.66%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:22.263","13.47%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:18.897","26.35%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:17.263","14.13%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:13.897","22.17%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:12.263","17.93%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:08.897","9.11%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:07.263","22.25%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:55:03.897","4%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:55:02.263","23.65%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:54:58.897","0.4%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:54:57.263","12.29%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:54:53.897","0.4%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:54:52.263","3.83%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:54:48.897","1%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:54:47.263","1%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:54:43.897","3.08%","ip-172-31-2-90"
"Mar 31, 2021 @ 16:54:42.263","2.6%","ip-172-31-8-202"
"Mar 31, 2021 @ 16:54:38.897","2.3%","ip-172-31-2-90"
